ppd_id,PlanName,fy,InflationAssumption_GASB,InvestmentReturnAssumption_GASB,UAALAmortPeriod_GASB,BlendedDiscountRate,ActAssets_GASB,MktAssets_Smooth,MktAssets_net,ActLiabilities_GASB,ActFundedRatio_GASB,UAAL_GASB,payroll,RequiredContribution,PercentReqContPaid,InvestmentReturn_1yr
4,Alaska Teachers,2005,0,0,25,,2640642,,3239727,4334585,1,1693943,561038,152168,0,0
4,Alaska Teachers,2006,0,0,25,,3296934,,3422923,4859336,1,1562402,574409,170019,1,0
4,Alaska Teachers,2007,0,0,25,,3441867,,3806494,5043448,1,1601581,554245,169974,1,0
4,Alaska Teachers,2008,0,0,25,,3670086,,3550798,5231654,1,1561568,549148,134544,1,0
4,Alaska Teachers,2009,0,0,19,,3115719,,2596433,5463987,1,2348268,557026,94388,1,0
4,Alaska Teachers,2010,0,0,19,,3259868,,2716557,6006981,1,2747113,564887,170788,1,0
4,Alaska Teachers,2011,0,0,18,,3345949,,3123530,6196104,1,2850155,584068,167978,1,0
4,Alaska Teachers,2012,0,0,18,,3194994,3006647,3006647,6399777,0,3204783,561971,229509,1,0
4,Alaska Teachers,2013,0,0,17,,3170313,3279130,3279130,6589533,0,3419240,550044,259786,1,0
4,Alaska Teachers,2014,0,0,25,0,3771139,3771139,3771139,6921362,1,3150223,514035,240366,1,0
4,Alaska Teachers,2015,0,0,25,0,5422651,5246955,5246955,7051724,1,1629073,490667,321971,5,0
4,Alaska Teachers,2016,,,,,,,4942201,,,,473734,359790,0,0
5,Arizona Public Safety Personnel,2001,0,0,20,,4661941,,4422062,3674758,1,-987183,826740,52540,1,0
5,Arizona Public Safety Personnel,2002,0,0,20,,4684386,,3696318,4144211,1,-540175,854249,51983,1,0
5,Arizona Public Safety Personnel,2003,0,0,20,,4781377,,3832538,4739613,1,-41764,881285,50801,1,0
5,Arizona Public Safety Personnel,2004,0,0,20,,4774313,,4309735,5167333,1,393020,911718,79000,1,0
5,Arizona Public Safety Personnel,2005,0,0,20,,4886963,,4608042,5951937,1,1064974,974863,104497,1,0
5,Arizona Public Safety Personnel,2006,0,0,30,,4999911,,4906399,6495012,1,1495101,1073685,127219,1,0
5,Arizona Public Safety Personnel,2007,0,0,29,,4829521,,5531794,7268291,1,2438770,1228037,166578,1,0
5,Arizona Public Safety Personnel,2008,0,0,28,,5095645,,5019281,7405397,1,2309752,1383332,221733,1,0
5,Arizona Public Safety Personnel,2009,0,0,27,,5445497,,4115701,7778394,1,2332897,1415643,316222,1,0
5,Arizona Public Safety Personnel,2010,0,0,26,,5591304,,4585863,8255185,1,2663881,1400544,288210,1,0
5,Arizona Public Safety Personnel,2011,0,0,25,,5795945,,5216643,9094447,1,3298502,1325350,272446,1,0
5,Arizona Public Safety Personnel,2012,0,0,24,,6051595,,5055828,10054752,1,4003157,1349252,295492,1,0
5,Arizona Public Safety Personnel,2013,0,0,23,,6185074,5557274,5277869,10544353,1,4359280,1370609,365318,1,0
5,Arizona Public Safety Personnel,2014,0,0,22,0,6018984,5935524,5935524,12233017,0,6214033,1390346,432133,1,0
5,Arizona Public Safety Personnel,2015,0,0,21,0,6217787,6075769,6075769,12685800,0,6468014,1401178,464438,1,0
5,Arizona Public Safety Personnel,2016,0,0,20,0,6553903,6042477,6042477,14248710,0,7694807,1448215,582179,1,0
6,Arizona SRS,2001,0,0,15,,21888000,,20798327,19012000,1,-2876000,6357000,77196,1,0
6,Arizona SRS,2002,0,0,15,,22642000,,18346958,21285000,1,-1357000,6989000,131234,1,0
6,Arizona SRS,2003,0,0,30,,22572000,,17921581,22935000,1,363000,7297000,138100,1,0
6,Arizona SRS,2004,0,0,30,,22659000,,20485189,24506000,1,1847000,7486000,297770,1,0
6,Arizona SRS,2005,0,0,30,,22808000,,21570914,26486000,1,3678000,8032000,318311,1,0
6,Arizona SRS,2006,0,0,30,,23767000,,23219646,28192000,1,4426000,8312000,477472,1,0
6,Arizona SRS,2007,0,0,30,,25310000,,27069558,30390000,1,5080000,9162000,663207,1,0
